format,pc_success,successes,episodes,videos,output_dir,eval_info,prompt_audit
standard,0.0000,0,40,40,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_format_ablation_2026_07_22_00_56_24/standard,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_format_ablation_2026_07_22_00_56_24/standard/eval_info.json,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_format_ablation_2026_07_22_00_56_24/standard/prompt_audit.jsonl
legacy_scene_graph,0.0000,0,40,40,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_format_ablation_2026_07_22_00_56_24/legacy_scene_graph,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_format_ablation_2026_07_22_00_56_24/legacy_scene_graph/eval_info.json,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_format_ablation_2026_07_22_00_56_24/legacy_scene_graph/prompt_audit.jsonl
triplet_published,,,,0,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_format_ablation_2026_07_22_00_56_24/triplet_published,,
triplet_human,,,,0,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_format_ablation_2026_07_22_00_56_24/triplet_human,,
triplet_human_bar,,,,0,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_format_ablation_2026_07_22_00_56_24/triplet_human_bar,,
triplet_human_shared_subject,,,,0,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_format_ablation_2026_07_22_00_56_24/triplet_human_shared_subject,,
natural_separate,,,,0,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_format_ablation_2026_07_22_00_56_24/natural_separate,,
natural_compact,,,,0,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_format_ablation_2026_07_22_00_56_24/natural_compact,,
natural_compact_current,,,,0,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_format_ablation_2026_07_22_00_56_24/natural_compact_current,,
natural_compact_no_label,,,,0,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_format_ablation_2026_07_22_00_56_24/natural_compact_no_label,,
natural_compact_context_first,,,,0,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_format_ablation_2026_07_22_00_56_24/natural_compact_context_first,,
