format,task_group,task_id,episodes,successes,pc_success,avg_sum_reward,avg_max_reward,videos
legacy_scene_graph,libero_spatial,0,4,0,0.0000,0.000000,0.000000,4
legacy_scene_graph,libero_spatial,1,4,0,0.0000,0.000000,0.000000,4
legacy_scene_graph,libero_spatial,2,4,0,0.0000,0.000000,0.000000,4
legacy_scene_graph,libero_spatial,3,4,0,0.0000,0.000000,0.000000,4
legacy_scene_graph,libero_spatial,4,4,0,0.0000,0.000000,0.000000,4
legacy_scene_graph,libero_spatial,5,4,0,0.0000,0.000000,0.000000,4
legacy_scene_graph,libero_spatial,6,4,0,0.0000,0.000000,0.000000,4
legacy_scene_graph,libero_spatial,7,4,0,0.0000,0.000000,0.000000,4
legacy_scene_graph,libero_spatial,8,4,0,0.0000,0.000000,0.000000,4
legacy_scene_graph,libero_spatial,9,4,0,0.0000,0.000000,0.000000,4
standard,libero_spatial,0,4,0,0.0000,0.000000,0.000000,4
standard,libero_spatial,1,4,0,0.0000,0.000000,0.000000,4
standard,libero_spatial,2,4,0,0.0000,0.000000,0.000000,4
standard,libero_spatial,3,4,0,0.0000,0.000000,0.000000,4
standard,libero_spatial,4,4,0,0.0000,0.000000,0.000000,4
standard,libero_spatial,5,4,0,0.0000,0.000000,0.000000,4
standard,libero_spatial,6,4,0,0.0000,0.000000,0.000000,4
standard,libero_spatial,7,4,0,0.0000,0.000000,0.000000,4
standard,libero_spatial,8,4,0,0.0000,0.000000,0.000000,4
standard,libero_spatial,9,4,0,0.0000,0.000000,0.000000,4
