model,complete_agentview,n_frames_expected_agentview,n_frames_done_agentview,n_frames_agentview,macro_f1_agentview,macro_precision_agentview,macro_recall_agentview,micro_f1_agentview,micro_precision_agentview,micro_recall_agentview,mean_per_task_f1_agentview,coverage_agentview,hallucination_rate_agentview,reversal_rate_agentview,direction_consistency_agentview,contains_f1_agentview,is_behind_f1_agentview,is_below_of_f1_agentview,is_in_front_of_f1_agentview,is_inside_f1_agentview,is_left_of_f1_agentview,is_on_top_of_f1_agentview,is_right_of_f1_agentview,complete_eye_in_hand,n_frames_expected_eye_in_hand,n_frames_done_eye_in_hand,n_frames_eye_in_hand,macro_f1_eye_in_hand,macro_precision_eye_in_hand,macro_recall_eye_in_hand,micro_f1_eye_in_hand,micro_precision_eye_in_hand,micro_recall_eye_in_hand,mean_per_task_f1_eye_in_hand,coverage_eye_in_hand,hallucination_rate_eye_in_hand,reversal_rate_eye_in_hand,direction_consistency_eye_in_hand,contains_f1_eye_in_hand,is_behind_f1_eye_in_hand,is_below_of_f1_eye_in_hand,is_in_front_of_f1_eye_in_hand,is_inside_f1_eye_in_hand,is_left_of_f1_eye_in_hand,is_on_top_of_f1_eye_in_hand,is_right_of_f1_eye_in_hand
allenai--Molmo2-8B,yes,12648,12648,12648,0.1898,0.3127,0.1473,0.1928,0.2792,0.1473,0.1888,0.8349,0.7208,0.0751,0.13143429414776664,0.0615,0.073,0.2524,0.0842,0.1337,0.2565,0.2491,0.2608,yes,12648,12648,12648,0.1464,0.1861,0.2012,0.1454,0.1593,0.1337,0.1459,0.8286,0.8407,0.0606,0.12437810945273632,0.1382,0.0658,0.2095,0.0707,0.1062,0.1821,0.2043,0.1787
cheryyunl--MomaGraph-R1,yes,12648,12648,12648,0.1013,0.1477,0.0828,0.1069,0.1509,0.0828,0.1023,0.9469,0.8491,0.0563,0.07915424234209813,0.0292,0.1583,0.0539,0.155,0.0209,0.0935,0.0529,0.0935,yes,12648,12648,12648,0.0928,0.106,0.137,0.1005,0.1042,0.0971,0.0926,0.9441,0.8958,0.0692,0.09352491274968441,0.0506,0.0992,0.0797,0.099,0.0348,0.1205,0.0844,0.1198
gemini-3.1-pro-preview,yes,12648,12648,12648,0.5694,0.6781,0.5381,0.5991,0.6757,0.5381,0.5674,0.9683,0.3243,0.0378,0.5308575042920394,0.3723,0.4806,0.534,0.4798,0.4537,0.6828,0.5488,0.6803,yes,12648,12648,12648,0.3708,0.4596,0.3932,0.4022,0.4844,0.3439,0.3773,0.8884,0.5156,0.0213,0.34093524912749684,0.4453,0.3938,0.2362,0.3921,0.5504,0.4599,0.2359,0.4605
gemma-4-E4B-vllm,yes,12648,12648,12648,0.2178,0.2723,0.1888,0.2227,0.2713,0.1888,0.2209,0.9693,0.7287,0.1333,0.18276934429685854,0.0,0.1685,0.1376,0.1607,0.0,0.2885,0.1468,0.2874,yes,12648,12648,12648,0.1464,0.1329,0.2885,0.1675,0.1339,0.2236,0.1472,0.9697,0.8661,0.1698,0.21534120442563304,0.0301,0.1357,0.1625,0.1331,0.0303,0.203,0.1704,0.2035
internvl3-78b,yes,12648,12648,12648,0.3452,0.3717,0.3299,0.3509,0.3749,0.3299,0.3519,0.9647,0.6251,0.1627,0.3297227493147797,0.4372,0.3603,0.2645,0.3604,0.4372,0.3491,0.2644,0.3495,yes,12648,12648,12648,0.211,0.2598,0.2436,0.206,0.2555,0.1726,0.2101,0.9437,0.7445,0.0654,0.17260711368530482,0.517,0.192,0.3646,0.192,0.517,0.1824,0.3657,0.1824
internVL3_5-14B,yes,12648,12648,12648,0.2548,0.3072,0.2261,0.2601,0.3061,0.2261,0.2561,0.9424,0.6939,0.1486,0.19079244601066234,0.1741,0.2908,0.1475,0.301,0.2077,0.2427,0.1594,0.2307,yes,12648,12648,12648,0.1282,0.1446,0.1682,0.1531,0.131,0.1842,0.1265,0.8139,0.869,0.1124,0.17974493205613723,0.3616,0.1594,0.0441,0.1597,0.3869,0.1544,0.0474,0.1502
internVL3_5-8B,yes,12648,12648,12648,0.1762,0.3838,0.1183,0.1804,0.3798,0.1183,0.1769,0.8482,0.6202,0.0731,0.06939550013553808,0.1369,0.1013,0.1366,0.2065,0.3185,0.2062,0.1707,0.1896,yes,12648,12648,12648,0.1492,0.2874,0.1247,0.113,0.2797,0.0708,0.1465,0.7656,0.7203,0.0385,0.04716158015890696,0.0237,0.0535,0.2665,0.1151,0.2995,0.0974,0.2836,0.1119
nemotron-nano-12b,yes,12648,12648,12648,0.1585,0.2239,0.1268,0.1612,0.221,0.1268,0.1599,0.9079,0.779,0.0951,0.12163790247281708,0.2388,0.1791,0.1161,0.1746,0.2628,0.1566,0.1169,0.1572,yes,12648,12648,12648,0.1262,0.1494,0.1809,0.1224,0.1392,0.1093,0.127,0.8973,0.8608,0.0745,0.1074107076557511,0.3244,0.1014,0.1469,0.1002,0.3478,0.1239,0.1469,0.1254
qwen2.5-vl-7b-vllm,yes,12648,12648,12648,0.1396,0.1877,0.1188,0.1445,0.1844,0.1188,0.1405,0.9136,0.8156,0.0722,0.11698066323303515,0.0464,0.1577,0.0853,0.156,0.0348,0.1623,0.0862,0.1622,yes,12648,12648,12648,0.1142,0.13,0.1565,0.1133,0.1312,0.0998,0.1147,0.9504,0.8688,0.0685,0.09572473453627385,0.1324,0.0903,0.1255,0.0919,0.0749,0.127,0.1297,0.1268
qwen3-vl-8b,yes,12648,12648,12648,0.2793,0.2648,0.3113,0.2825,0.2586,0.3113,0.2837,0.9802,0.7414,0.2875,0.2931500557212132,0.0343,0.25,0.1589,0.2531,0.0398,0.3441,0.1637,0.3514,yes,12648,12648,12648,0.2135,0.2429,0.2503,0.1887,0.2066,0.1736,0.2108,0.8474,0.7934,0.0948,0.17050939333184822,0.3459,0.1286,0.215,0.1275,0.3908,0.2253,0.2228,0.225
so101-gemini-smoke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
