model,complete_agentview,n_frames_expected_agentview,n_frames_done_agentview,n_frames_agentview,macro_f1_agentview,macro_precision_agentview,macro_recall_agentview,micro_f1_agentview,micro_precision_agentview,micro_recall_agentview,mean_per_task_f1_agentview,coverage_agentview,hallucination_rate_agentview,reversal_rate_agentview,direction_consistency_agentview,contains_f1_agentview,is_behind_f1_agentview,is_below_of_f1_agentview,is_in_front_of_f1_agentview,is_inside_f1_agentview,is_left_of_f1_agentview,is_on_top_of_f1_agentview,is_right_of_f1_agentview,complete_eye_in_hand,n_frames_expected_eye_in_hand,n_frames_done_eye_in_hand,n_frames_eye_in_hand,macro_f1_eye_in_hand,macro_precision_eye_in_hand,macro_recall_eye_in_hand,micro_f1_eye_in_hand,micro_precision_eye_in_hand,micro_recall_eye_in_hand,mean_per_task_f1_eye_in_hand,coverage_eye_in_hand,hallucination_rate_eye_in_hand,reversal_rate_eye_in_hand,direction_consistency_eye_in_hand,contains_f1_eye_in_hand,is_behind_f1_eye_in_hand,is_below_of_f1_eye_in_hand,is_in_front_of_f1_eye_in_hand,is_inside_f1_eye_in_hand,is_left_of_f1_eye_in_hand,is_on_top_of_f1_eye_in_hand,is_right_of_f1_eye_in_hand
gemini-3.1-pro-preview,no,12648,6999,6999,0.4674,0.6128,0.4245,0.5136,0.6499,0.4245,0.4452,0.9489,0.3501,0.041,0.414671484,0.6173,0.3795,0.4836,0.3796,0.6327,0.5949,0.4966,0.592,no,12648,6708,6708,0.3195,0.3859,0.3617,0.3733,0.4469,0.3205,0.3185,0.8831,0.5531,0.0303,0.317236606,0.5414,0.3866,0.1803,0.3858,0.5492,0.4189,0.1806,0.4198
internvl3-78b,yes,12648,12648,12648,0.3345,0.3601,0.3197,0.3401,0.3633,0.3197,0.3406,0.9647,0.6367,0.1721,0.319549863,0.4372,0.3535,0.2708,0.3537,0.4372,0.333,0.2708,0.3334,yes,12648,12648,12648,0.1998,0.244,0.2331,0.1888,0.2342,0.1582,0.1981,0.9437,0.7658,0.0743,0.158173684,0.5186,0.1842,0.3587,0.1841,0.5186,0.1536,0.3597,0.1536
qwen3-vl-8b,yes,12648,12648,12648,0.2704,0.2558,0.302,0.274,0.2509,0.302,0.2743,0.9802,0.7491,0.2969,0.284151833,0.0343,0.2425,0.1543,0.2459,0.0398,0.3329,0.161,0.3408,yes,12648,12648,12648,0.2072,0.2345,0.2447,0.1786,0.1955,0.1643,0.2044,0.8474,0.8045,0.1004,0.160921141,0.3459,0.1219,0.2104,0.1209,0.4013,0.2099,0.2216,0.2091
internVL3_5-14B,yes,12648,12648,12648,0.2395,0.288,0.2128,0.2449,0.2882,0.2128,0.2401,0.9424,0.7118,0.1577,0.178955453,0.1741,0.2836,0.1414,0.2936,0.2077,0.2203,0.1534,0.2054,yes,12648,12648,12648,0.1198,0.1342,0.1595,0.1422,0.1217,0.1711,0.1176,0.8139,0.8783,0.1186,0.166796614,0.3616,0.1487,0.0439,0.1496,0.3869,0.1406,0.0472,0.137
gemma-4-E4B-vllm,yes,12648,12648,12648,0.1941,0.2412,0.1688,0.1991,0.2426,0.1688,0.1964,0.9693,0.7574,0.1399,0.162988314,0,0.158,0.1051,0.1496,0,0.2542,0.1127,0.2532,yes,12648,12648,12648,0.134,0.1206,0.2709,0.1515,0.1211,0.2022,0.1342,0.9697,0.8789,0.1797,0.194438256,0.0301,0.1286,0.1552,0.1263,0.0303,0.176,0.1631,0.1758
mistral-large-3,no,12648,8620,8620,0.1476,0.1573,0.1421,0.1502,0.1594,0.1421,0.1643,0.9958,0.8406,0.1912,0.141023091,0.2137,0.1508,0.1237,0.1514,0.2268,0.1558,0.1229,0.1558,yes,12648,12648,12648,0.1114,0.1085,0.1694,0.119,0.1104,0.1289,0.1119,0.9559,0.8896,0.1171,0.128787035,0.1741,0.1188,0.1645,0.1188,0.1959,0.0983,0.164,0.0984
allenai--Molmo2-8B,yes,12648,12648,12648,0.1648,0.2655,0.1295,0.1696,0.2455,0.1295,0.1636,0.8349,0.7545,0.085,0.114258607,0.0631,0.0665,0.2298,0.0775,0.1365,0.2213,0.2287,0.2255,yes,12648,12648,12648,0.1347,0.1692,0.1889,0.1299,0.1424,0.1195,0.134,0.8286,0.8576,0.0687,0.11094713,0.1395,0.061,0.199,0.0662,0.1072,0.158,0.1938,0.153
internVL3_5-8B,yes,12648,12648,12648,0.1507,0.3259,0.1016,0.1549,0.3261,0.1016,0.1515,0.8482,0.6739,0.0826,0.056361254,0.1144,0.0959,0.0963,0.2007,0.2933,0.1726,0.1218,0.1483,yes,12648,12648,12648,0.1438,0.27,0.1214,0.1037,0.2568,0.065,0.141,0.7656,0.7432,0.0398,0.042576298,0.0237,0.0444,0.2527,0.104,0.2995,0.0896,0.2694,0.1041
nemotron-nano-12b,yes,12648,12648,12648,0.1488,0.2103,0.119,0.1512,0.2074,0.119,0.1494,0.9079,0.7926,0.1005,0.11404024,0.2376,0.1769,0.1059,0.1725,0.2618,0.1395,0.1068,0.1402,yes,12648,12648,12648,0.1103,0.13,0.16,0.1064,0.121,0.095,0.1106,0.8973,0.879,0.083,0.093302146,0.3143,0.0962,0.1446,0.095,0.3369,0.0923,0.1448,0.094
qwen2.5-vl-7b-vllm,yes,12648,12648,12648,0.1252,0.1675,0.107,0.1302,0.1662,0.107,0.125,0.9136,0.8338,0.0755,0.105230264,0.0464,0.1436,0.0741,0.142,0.0348,0.1456,0.0755,0.1458,yes,12648,12648,12648,0.1058,0.1168,0.149,0.1016,0.1177,0.0895,0.1059,0.9504,0.8823,0.0707,0.085709512,0.1261,0.084,0.1169,0.0849,0.0711,0.1086,0.1212,0.1101
